VB #,slit #,IFU #,IFU #,Row,Column,X (arcsec),Y (arcsec)
,,18,18,1,1,-1.4167133824,-13.9049774956
,,17,17,1,2,-1.4167133824,-12.2690977902
6,158,16,16,1,3,-1.4167133824,-10.6332180849
6,182,15,15,1,4,-1.4167133824,-8.9973383795
2,46,14,14,1,5,-1.4167133824,-7.3614586741
2,31,13,13,1,6,-1.4167133824,-5.7255789688
,,12,12,1,7,-1.4167133824,-4.0896992634
,,11,11,1,8,-1.4167133824,-2.453819558
,,10,10,1,9,-1.4167133824,-0.8179398527
,,9,9,1,10,-1.4167133824,0.8179398527
,,8,8,1,11,-1.4167133824,2.453819558
,,7,7,1,12,-1.4167133824,4.0896992634
7,220,6,6,1,13,-1.4167133824,5.7255789688
7,206,5,5,1,14,-1.4167133824,7.3614586741
3,69,4,4,1,15,-1.4167133824,8.9973383795
3,93,3,3,1,16,-1.4167133824,10.6332180849
,,2,2,1,17,-1.4167133824,12.2690977902
,,1,1,1,18,-1.4167133824,13.9049774956
4,114,35,35,2,1,0,-13.0870376429
4,94,34,34,2,2,0,-11.4511579376
6,174,33,33,2,3,0,-9.8152782322
2,61,32,32,2,4,0,-8.1793985268
2,38,31,31,2,5,0,-6.5435188215
8,228,30,30,2,6,0,-4.9076391161
,,29,29,2,7,0,-3.2717594107
,,28,28,2,8,0,-1.6358797054
,,27,27,2,9,0,0
,,26,26,2,10,0,1.6358797054
,,25,25,2,11,0,3.2717594107
1,23,24,24,2,12,0,4.9076391161
7,213,23,23,2,13,0,6.5435188215
7,190,22,22,2,14,0,8.1793985268
3,77,21,21,2,15,0,9.8152782322
5,157,20,20,2,16,0,11.4511579376
5,137,19,19,2,17,0,13.0870376429
4,125,53,53,3,1,1.4167133824,-13.9049774956
4,104,52,52,3,2,1.4167133824,-12.2690977902
6,166,51,51,3,3,1.4167133824,-10.6332180849
6,189,50,50,3,4,1.4167133824,-8.9973383795
2,54,49,49,3,5,1.4167133824,-7.3614586741
8,221,48,48,3,6,1.4167133824,-5.7255789688
8,236,47,47,3,7,1.4167133824,-4.0896992634
8,243,46,46,3,8,1.4167133824,-2.453819558
8,250,45,45,3,9,1.4167133824,-0.8179398527
1,1,44,44,3,10,1.4167133824,0.8179398527
1,8,43,43,3,11,1.4167133824,2.453819558
1,15,42,42,3,12,1.4167133824,4.0896992634
,,41,41,3,13,1.4167133824,5.7255789688
,,40,40,3,14,1.4167133824,7.3614586741
3,62,39,39,3,15,1.4167133824,8.9973383795
3,85,38,38,3,16,1.4167133824,10.6332180849
5,147,37,37,3,17,1.4167133824,12.2690977902
5,126,36,36,3,18,1.4167133824,13.9049774956
