Slit #,VB#,IFU Fiber,IFU Fiber,Row,Column,X (arcsec),Y (arcsec)
,,18,18,1,1,8.5002802943,13.0870376429
,,17,17,1,2,8.5002802943,11.4511579376
124,4,16,16,1,3,8.5002802943,9.8152782322
96,4,15,15,1,4,8.5002802943,8.1793985268
95,4,14,14,1,5,8.5002802943,6.5435188215
172,6,13,13,1,6,8.5002802943,4.9076391161
171,6,12,12,1,7,8.5002802943,3.2717594107
170,6,11,11,1,8,8.5002802943,1.6358797054
197,7,10,10,1,9,8.5002802943,0
196,7,9,9,1,10,8.5002802943,-1.6358797054
63,3,8,8,1,11,8.5002802943,-3.2717594107
64,3,7,7,1,12,8.5002802943,-4.9076391161
65,3,6,6,1,13,8.5002802943,-6.5435188215
142,5,5,5,1,14,8.5002802943,-8.1793985268
141,5,4,4,1,15,8.5002802943,-9.8152782322
140,5,3,3,1,16,8.5002802943,-11.4511579376
,,2,2,1,17,8.5002802943,-13.0870376429
,,1,1,1,18,8.5002802943,-14.7229173483
,,35,35,2,1,7.0835669119,12.2690977902
123,4,34,34,2,2,7.0835669119,10.6332180849
97,4,33,33,2,3,7.0835669119,8.9973383795
169,6,32,32,2,4,7.0835669119,7.3614586741
173,6,31,31,2,5,7.0835669119,5.7255789688
199,7,30,30,2,6,7.0835669119,4.0896992634
208,7,29,29,2,7,7.0835669119,2.453819558
209,7,28,28,2,8,7.0835669119,0.8179398527
210,7,27,27,2,9,7.0835669119,-0.8179398527
211,7,26,26,2,10,7.0835669119,-2.453819558
212,7,25,25,2,11,7.0835669119,-4.0896992634
195,7,24,24,2,12,7.0835669119,-5.7255789688
66,3,23,23,2,13,7.0835669119,-7.3614586741
92,3,22,22,2,14,7.0835669119,-8.9973383795
143,5,21,21,2,15,7.0835669119,-10.6332180849
139,5,20,20,2,16,7.0835669119,-12.2690977902
,,19,19,2,17,7.0835669119,-13.9049774956
,,53,53,3,1,5.6668535295,13.0870376429
122,4,52,52,3,2,5.6668535295,11.4511579376
98,4,51,51,3,3,5.6668535295,9.8152782322
168,6,50,50,3,4,5.6668535295,8.1793985268
175,6,49,49,3,5,5.6668535295,6.5435188215
200,7,48,48,3,6,5.6668535295,4.9076391161
207,7,47,47,3,7,5.6668535295,3.2717594107
